Puesto	Titulo	Plataforma	Distribuidor	Genero	Edad
1	Grand Theft Auto V	PS3	Take 2	Action/Combat	18
2	Fifa 14 Move	PS3	Electr Arts	Sport	3
3	Call Of Duty Ghosts	PS3	Activision	Action/Combat	18
4	Last Dance 2014	WII	Ubi Soft	Dance	3
5	Animal Crossing New Leaf	Nintendo 3DS	Nintendo	Life Simulation	3
6	Grand Theft Auto V	Xbox360	Take 2	Action/Combat	18
7	The Last Of Us	PS3	Sony	Action/Combat	18
8	Jast Dance 4	WII	Ubi Soft	Dance	3
9	Call Of Duty: Black Ops II	PS3	Activision	Action/Combat	18
10	Pokemon Y	Nintendo 3DS	Nintendo	Graph-Adv/Rpg	3
11	Pokemon X	Nintendo 3DS	Nintendo	Graph-Adv/Rpg	3
12	Fifa 13 Move	PS3	ELectr Arts	Sport	3
13	Far Cry 3	PS3	Ubi Soft	Action/Combat	18
14	New Super Mario Bros 2	Nintendo 3DS	Nintendo	Platform	3
15	Pro Evolution Soccer 2014	PS3	Konami	Sport	3
16	Assassins Creed Iv Black Flag	PS3	Ubi Soft	Action/Combat	18
17	God Of War Ascension	PS3	Sony	Action/Combat	18
18	Gran Turismo 6	PS3	Sony	Race/Rally	3
19	Fifa 14	PS4	Electr Arts	Sport	3
20	Uigis Mansion 2	Nintendo 3DS	Nintendo	Platform	3
